{'name': 'АльфредАлексей3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАлла12', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АдаАльфия2', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АртемийАвраам12', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АкулинаАлевтина3', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнтонАвраам5', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АделинаАся3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АполлонАлександр12', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АлинаАнастасия13', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АльбинаАнтон13', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АннаАгафон11', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнгелинаАвгуст4', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АннаАркадий7', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АврораАлена10', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АрхипАрсений1', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АделинаАвгуст8', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АндрейАгафон5', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АртемАгата10', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнжеликаАся4', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АндрейАнтонина2', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АллаАмалия6', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АлевтинаАльфия8', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АнастасийАкулина1', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АльбинаАда2', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АполлинарийАлан1', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнастасийАнжелика6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АвгустАнастасий9', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АльфияАркадий5', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АполлинарийАркадий5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемАльбина4', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АрсенАлина10', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АгафонАнжела13', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АсяАнастасия3', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АльбинаАделаида6', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АланАльберт3', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлинаАльбина1', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлинаАнтонина5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АристархАлиса1', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АмалияАлина7', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АгафонАнастасий5', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АлексейАнфиса2', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АртемАлина5', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АврораАда3', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнисийАлсу10', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АриаднаАнжела3', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АлексейАделина10', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АртемАртем11', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АмелияАртур5', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АгнияАнастасий1', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АристархАвгуст5', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АполлинарийАдонис8', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АвгустинАлена3', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АвгустАделина5', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АнастасийАлександра5', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АльфияАлина8', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлевтинаАрсен11', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлевтинаАнастасия7', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АриаднаАгния1', 'sex': 'female', 'class_study': 11, 'point_study': 8}
